Name,Address,Type,Description,Image_URL
"Stanley's Famous Pit Barbecue","525 S Beckham Ave, Tyler, TX 75702",Restaurant,"A Tyler institution since 1958, Stanley's is the kind of BBQ joint that makes you proud to be from East Texas. The brisket is legendary and the atmosphere is as authentic as it gets.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Barbecue_smoking.jpg/640px-Barbecue_smoking.jpg
"Tyler Rose Garden","420 Rose Park Dr, Tyler, TX 75702",Cultural,"The largest rose garden in the US with over 38,000 rose bushes — Tyler is the Rose Capital of America and this garden proves it every spring. A must-see in bloom season.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Simple_red_rose.jpg/640px-Simple_red_rose.jpg
"Caldwell Zoo","2203 W Martin Luther King Jr Blvd, Tyler, TX 75702",Recreation,"One of the best small-city zoos in the country. Growing up, this was the go-to field trip destination. The African savanna exhibit is genuinely impressive for a city Tyler's size.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Giraffe_in_field.jpg/640px-Giraffe_in_field.jpg
"Tyler State Park","789 Park Rd 16, Tyler, TX 75706",Park,"Thick pine forest, a spring-fed lake, and hiking trails that feel a world away from the city. This park is the heart of the Pine Curtain and one of East Texas's most beautiful natural spots.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/24701-nature_%28Unsplash%29.jpg/640px-24701-nature_%28Unsplash%29.jpg
"True Vine Brewing Company","2453 Earl Campbell Pkwy, Tyler, TX 75701",Restaurant,"Tyler's best craft brewery with outdoor seating, a dog park, a stage for live music, and Sola Bread's pizza. A perfect Friday night spot that has a real community feel.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Good_Food_Display_-_NCI_Visuals_Online.jpg/640px-Good_Food_Display_-_NCI_Visuals_Online.jpg
"The Grove Kitchen & Gardens","3500 Old Jacksonville Hwy, Tyler, TX 75701",Restaurant,"Farm-to-table dining that sources ingredients from East Texas producers. The outdoor patio surrounded by gardens makes this one of the most beautiful places to eat in Tyler.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Good_Food_Display_-_NCI_Visuals_Online.jpg/640px-Good_Food_Display_-_NCI_Visuals_Online.jpg
"Goodman-LeGrand House & Museum","624 N Broadway Ave, Tyler, TX 75702",Historical,"A beautifully preserved 1859 antebellum home that tells the story of Tyler's history before and after the Civil War. One of the most important historic sites in all of East Texas.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Empire_style_furniture_-_Master_Bedroom.jpg/640px-Empire_style_furniture_-_Master_Bedroom.jpg
"University of Texas at Tyler","3900 University Blvd, Tyler, TX 75799",School,"UT Tyler sits on a beautiful wooded campus and has grown into one of East Texas's most important universities. The campus reflects Tyler's investment in education and the future.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/College_campus.jpg/640px-College_campus.jpg
"Rose Rudman Recreational Trail","3800 Lindsey Ln, Tyler, TX 75701",Park,"A beloved paved trail winding through pine and hardwood forest along Mud Creek. Locals run, bike, and walk dogs here daily — it is the outdoor living room of Tyler.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Pedestrian_path.jpg/640px-Pedestrian_path.jpg
"Tiger Creek Wildlife Refuge","17778 FM 14, Tyler, TX 75706",Cultural,"A sanctuary for rescued big cats — tigers, lions, and leopards — living out their lives in East Texas pines. An unexpected and humbling place that surprises every first-time visitor.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Panthera_tigris_sumatran_subspecies.jpg/640px-Panthera_tigris_sumatran_subspecies.jpg
